15.3.2019|10|12|11|12
18.3.2019|12|12|12|12
20.3.2019|14|12|9|14
1.4.2019|14|12.5|10|12.5
6.4.2019|15|12.5|12|12.5
9.4.2019|15|12.5|10|12.5
17.4.2019|12|12.5|8|12.5
21.4.2019|12|12.5|10|12.5
24.4.2019|12|12.5|10|12.5
2.5.2019|15|12.5|9|12.5
6.5.2019|15|12.5|10|12.5
10.5.2019|12|12.5|12|12.5
12.5.2019|15|12.5|17|12.5
15.5.2019|13|12.5|13|12.5
20.5.2019|17|12.5|15|12.5
30.5.2019|16|12.5|16|12.5
2.6.2019|12|12.5|11|12.5
5.6.2019|20|12|10|14
10.6.2019|16|12.5|12|12.5
13.6.2019|15|12.5|10|12.5
16.6.2019|13|12.5|12|12.5
