15.3.2019|12|10|9|10
18.3.2019|12|10|9|10
20.3.2019|12|10|10|10
1.4.2019|15|10|12|10
6.4.2019|13|10|9|10
9.4.2019|15|10|10|10
15.4.2019|16|10|9|12.5
17.4.2019|20|10|13|10
21.4.2019|18|10|11|10
24.4.2019|20|10|10.5|12.5
2.5.2019|20|10|10|22.5
6.5.2019|12|12.5|8|12.5
10.5.2019|20|10|13|12.5
12.5.2019|11|12.5|5.5|12.5
15.5.2019|10|12.5|8|12.5
20.5.2019|12|12.5|8|12.5
30.5.2019|12|12.5|7.5|12.5
2.6.2019|12|12.5|7|12.5
5.6.2019|14|12|10|12
10.6.2019|12|12.5|8|12.5
13.6.2019|13|12.5|8|12.5
16.6.2019|12|12.5|10|12.5
